"finding_id","acceptance_id","acceptance_criterion","source_authority","planned_source_locations","required_tests","required_evidence","final_status","limitation"
"HP-OWCR2-001","HP-OWCR2-AC-001","Source-bound proof satisfies the owner requirement: Player, Captain, and Creator selection icons still move structurally on hover.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-B-ROLE-CARDS-HOVER","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-002","HP-OWCR2-AC-002","Source-bound proof satisfies the owner requirement: The icons jump to another position, remain there briefly, and move back.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-B-ROLE-CARDS-HOVER","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-003","HP-OWCR2-AC-003","Source-bound proof satisfies the owner requirement: Structural card layout must never change on hover.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-B-ROLE-CARDS-HOVER","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-004","HP-OWCR2-AC-004","Source-bound proof satisfies the owner requirement: The account/Profile dropdown still appears to have no visible animation.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-005","HP-OWCR2-AC-005","Source-bound proof satisfies the owner requirement: The lantern now swings more, but its swing is offset too far to the left.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-D-LANTERN-NEUTRAL","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-006","HP-OWCR2-AC-006","Source-bound proof satisfies the owner requirement: The lantern must rotate around the physical hanging point with a balanced left/right arc.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-D-LANTERN-NEUTRAL","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-007","HP-OWCR2-AC-007","Source-bound proof satisfies the owner requirement: Home-page star twinkles are not perceptible.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-G-STAR-TWINKLE","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-008","HP-OWCR2-AC-008","Source-bound proof satisfies the owner requirement: Star twinkles must be visible but restrained.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-G-STAR-TWINKLE","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-009","HP-OWCR2-AC-009","Source-bound proof satisfies the owner requirement: Fog and ambient motion must remain coherent with reduced motion.","Project_Homeport_Home_Ambient_and_Role_Card_Motion_Contract.md","src/styles/landing.css;src/components/landing/HarborLanding.tsx;src/components/shell/ProductShell.tsx","homeport.owner-correction.round2.motion","HP-OWCR2-EV-H-FOG-DRIFT","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-010","HP-OWCR2-AC-010","Source-bound proof satisfies the owner requirement: “What is a Chronicle” was incorrectly changed to a bright washed-out card.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-011","HP-OWCR2-AC-011","Source-bound proof satisfies the owner requirement: Other major cards also acquired inconsistent pale surfaces.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-012","HP-OWCR2-AC-012","Source-bound proof satisfies the owner requirement: Dark mode must be restored as a complete coherent dark theme.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-013","HP-OWCR2-AC-013","Source-bound proof satisfies the owner requirement: A real global Light Mode should be implemented for the complete product.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-J-LIGHT-GATEWAY","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-014","HP-OWCR2-AC-014","Source-bound proof satisfies the owner requirement: Light Mode must apply consistently rather than producing mixed dark/light pages.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-J-LIGHT-GATEWAY","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-015","HP-OWCR2-AC-015","Source-bound proof satisfies the owner requirement: Personal Harbor inactive links and ordinary body text became too gray.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-X-PERSONAL-HARBOR-CONTRAST","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-016","HP-OWCR2-AC-016","Source-bound proof satisfies the owner requirement: Ordinary readable text must remain clearly readable.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-X-PERSONAL-HARBOR-CONTRAST","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-017","HP-OWCR2-AC-017","Source-bound proof satisfies the owner requirement: Section headings, inactive links, metadata, secondary text, and disabled text require distinct tokens.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-X-PERSONAL-HARBOR-CONTRAST","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-018","HP-OWCR2-AC-018","Source-bound proof satisfies the owner requirement: A repository-wide contrast and token audit is required.","Project_Homeport_Global_Theme_and_Visual_Token_Contract.md","src/theme/ThemeProvider.tsx;src/styles/tokens.css;src/app/layout.tsx","homeport.owner-correction.round2.theme","HP-OWCR2-EV-Y-COMMUNITY-CONTRAST","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-019","HP-OWCR2-AC-019","Source-bound proof satisfies the owner requirement: Sera still receives incorrect permission denial when opening Captain.","Project_Homeport_Runtime_Fixture_Parity_Contract.md","scripts/homeport/seed-phase7-owner-correction-round2-fixture.mjs;tests/e2e/homeport-phase7-owner-correction-round2.spec.ts","homeport.owner-correction.round2.sera-capabilities","HP-OWCR2-EV-M-SERA-WORKSPACES","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-020","HP-OWCR2-AC-020","Source-bound proof satisfies the owner requirement: Sera still receives incorrect permission denial when opening Creator.","Project_Homeport_Runtime_Fixture_Parity_Contract.md","scripts/homeport/seed-phase7-owner-correction-round2-fixture.mjs;tests/e2e/homeport-phase7-owner-correction-round2.spec.ts","homeport.owner-correction.round2.sera-capabilities","HP-OWCR2-EV-M-SERA-WORKSPACES","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-021","HP-OWCR2-AC-021","Source-bound proof satisfies the owner requirement: Sera is not currently participating in an active Chronicle.","Project_Homeport_Runtime_Fixture_Parity_Contract.md","scripts/homeport/seed-phase7-owner-correction-round2-fixture.mjs;tests/e2e/homeport-phase7-owner-correction-round2.spec.ts","homeport.owner-correction.round2.sera-capabilities","HP-OWCR2-EV-M-SERA-WORKSPACES","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
"HP-OWCR2-022","HP-OWCR2-AC-022","Source-bound proof satisfies the owner requirement: The final owner-review database did not reflect the intended one-account, three-workspace model.","Project_Homeport_Runtime_Fixture_Parity_Contract.md","scripts/homeport/seed-phase7-owner-correction-round2-fixture.mjs;tests/e2e/homeport-phase7-owner-correction-round2.spec.ts","homeport.owner-correction.round2.sera-capabilities","HP-OWCR2-EV-M-SERA-WORKSPACES","PASSED","Exact-source local synthetic proof passed; Codex visual review is ACCEPTED where applicable. Owner re-review, merge, deployment, and live providers remain external."
