"finding_id","owner_order","owner_wording","product_area","severity","canonical_owner","parent_nonconformity","correction_nonconformity","architecture_contract","planned_test_contracts","planned_evidence_ids","current_status","limitation"
"HP-OWCR3-001","1","Avatar selection needs an immediate preview.","Profile imagery","high","wayfarer-profile-media","","HP-NC-157","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-002","2","Banner selection needs an immediate preview.","Profile imagery","high","wayfarer-profile-media","","HP-NC-158","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-003","3","Avatar selection needs a crop-and-position editor.","Profile imagery","high","wayfarer-profile-media","","HP-NC-159","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-004","4","Banner selection needs a crop-and-position editor.","Profile imagery","high","wayfarer-profile-media","","HP-NC-160","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-005","5","The person must be able to drag the selected image.","Profile imagery","high","wayfarer-profile-media","","HP-NC-161","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-006","6","The person must be able to zoom the selected image.","Profile imagery","high","wayfarer-profile-media","","HP-NC-162","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-007","7","Reset, replace, cancel, and remove actions are required.","Profile imagery","high","wayfarer-profile-media","","HP-NC-163","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-008","8","A small preview must remain visible near each Profile Imagery field.","Profile imagery","high","wayfarer-profile-media","","HP-NC-164","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-009","9","The saved avatar must appear throughout account identity surfaces.","Profile imagery","high","wayfarer-profile-media","","HP-NC-165","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-010","10","The saved banner must appear prominently in Personal Harbor.","Profile imagery","high","wayfarer-profile-media","","HP-NC-166","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
