"finding_id","acceptance_id","acceptance_criterion","source_authority","planned_source_locations","required_tests","required_evidence","final_status","limitation"
"HP-OWCR3-001","HP-OWCR3-AC-001","Exact-source proof satisfies the owner requirement: Avatar selection needs an immediate preview.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-002","HP-OWCR3-AC-002","Exact-source proof satisfies the owner requirement: Banner selection needs an immediate preview.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-003","HP-OWCR3-AC-003","Exact-source proof satisfies the owner requirement: Avatar selection needs a crop-and-position editor.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-004","HP-OWCR3-AC-004","Exact-source proof satisfies the owner requirement: Banner selection needs a crop-and-position editor.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-005","HP-OWCR3-AC-005","Exact-source proof satisfies the owner requirement: The person must be able to drag the selected image.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-006","HP-OWCR3-AC-006","Exact-source proof satisfies the owner requirement: The person must be able to zoom the selected image.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-007","HP-OWCR3-AC-007","Exact-source proof satisfies the owner requirement: Reset, replace, cancel, and remove actions are required.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-008","HP-OWCR3-AC-008","Exact-source proof satisfies the owner requirement: A small preview must remain visible near each Profile Imagery field.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-009","HP-OWCR3-AC-009","Exact-source proof satisfies the owner requirement: The saved avatar must appear throughout account identity surfaces.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-010","HP-OWCR3-AC-010","Exact-source proof satisfies the owner requirement: The saved banner must appear prominently in Personal Harbor.","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","PENDING_POST_FREEZE_SOURCE_CENSUS","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","PLANNED","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
